0  100  0
10  80.0  20.0
20  64.0  36.0
30  51.2  48.8
40  40.96  59.04
50  32.768  67.232
60  26.2144  73.7856
70  20.971519999999998  79.02848
80  16.777216  83.222784
90  13.4217728  86.5782272
100  10.73741824  89.26258176
110  8.589934592  91.41006540800001
120  6.8719476736  93.12805232640001
130  5.4975581388800006  94.50244186112
140  4.398046511104001  95.601953488896
150  3.5184372088832006  96.4815627911168
160  2.8147497671065604  97.18525023289344
170  2.251799813685248  97.74820018631475
180  1.8014398509481986  98.1985601490518
190  1.4411518807585588  98.55884811924145

